,fmom_1m,fmom_12_2,fmom_12m,fvol_12m,post_pub,years_since_pub
1949-09-30,-0.009342881323872614,-0.010366428816913489,-0.0023172820709250145,0.003658016671243829,0.0,0.0
1949-10-31,-0.00906294468640382,-0.009975456432514218,-0.002195193504142821,0.003548698838371594,0.0,0.0
1949-11-30,-0.00879107931654488,-0.00967441015605087,-0.0021864447459993535,0.0034419030042440917,0.0,0.0
1949-12-31,-0.008524885791284648,-0.009739761184460533,-0.0022447019375880957,0.0033374850608907805,0.0,0.0
1950-01-31,-0.008268559739989146,-0.00939944292346224,-0.002155082812402139,0.003237104478576012,0.0,0.0
1950-02-28,-0.008022008524200161,-0.009023266590131168,-0.002089783150232774,0.003140895119107584,0.0,0.0
1950-03-31,-0.007781286896814488,-0.008704297730759512,-0.002041504084210048,0.003046557260902391,0.0,0.0
1950-04-30,-0.007552582137924659,-0.00885896238404742,-0.0026863722728621884,-0.02957860411480663,0.0,0.0
1950-05-31,0.05140208623941448,-0.008161106799769662,-0.0023473121606439823,-0.028690863029954588,0.0,0.0
1950-06-30,-0.04999771942040598,-0.0071028163158781115,-0.0015872486817755259,-0.027829813611059767,0.0,0.0
1950-07-31,-0.048496715602402075,-0.007088635552638629,-0.0017224664354374647,-0.026994718675059304,0.0,0.0
1950-08-31,0.009810697717950727,-0.00678235788517016,-0.004290215628498003,-0.026149330694601822,0.0,0.0
1950-09-30,0.009516306514497249,-0.006559377215037527,-0.022150763448533263,-0.025364740684010637,0.0,0.0
1950-10-31,0.009230477671147892,-0.0063007221221604345,-0.08054990633236876,-0.024603748105302633,0.0,0.0
1950-11-30,0.008956290505823543,-0.0061012991794557,-0.07797430981654148,-0.023865245908067476,0.0,0.0
1950-12-31,0.008686189397001144,-0.005213353844425926,-0.07519541307609694,-0.02314863092254149,0.0,0.0
1951-01-31,0.008365278617795653,-0.005291946164010008,-0.06480330977152123,-0.02242205119045414,0.0,0.0
1951-02-28,0.008127305037706353,-0.0069748964726736125,-0.05817895267376594,-0.021723438116501598,0.0,0.0
1951-03-31,0.007881940113081264,-0.006677342424752314,-0.05626618610785944,0.022035144614517835,0.0,0.0
1951-04-30,0.007643646078821773,-0.0066570311238921265,-0.053864321075224625,0.0213733602831629,0.0,0.0
1951-05-31,0.007415599557011296,-0.006532867931930772,-0.0521564776515777,0.012416502095803757,0.0,0.0
1951-06-30,0.007186922037671462,-0.006010662278536454,-0.0495743833029975,0.07078527326139593,0.0,0.0
1951-07-31,0.006971278500686006,-0.005784044167495886,-0.04790645303947038,0.06866157142626128,0.0,0.0
1951-08-31,0.006758582324947283,-0.0051907843682941325,-0.04426311050052339,0.06659877560421937,0.0,0.0
1951-09-30,0.0034677634365102112,-0.003588525368914499,-0.004872165439188905,0.06220272419517587,0.0,0.0
1951-10-31,0.003363230203347597,-0.003446228122673848,-0.0046846533829106255,-0.002536522194399954,0.0,0.0
1951-11-30,0.009735676538330016,-0.0029836051012595895,-0.004108136640423064,-0.002459496060469422,0.0,0.0
1951-12-31,0.009443396335418236,-0.002828494024405645,-0.00390200432989573,-0.002385594909943915,0.0,0.0
1952-01-31,0.009156000832110782,-0.0027172054174636564,-0.003712227247289057,-0.006129834338198033,0.0,0.0
1952-02-29,0.007493916695573042,0.012133814628190402,0.012253310228963416,0.01105797475865081,0.0,0.0
1952-03-31,0.0072678706308297045,0.011718946416109526,0.011829931656194826,-0.016493875304973014,0.0,0.0
1952-04-30,0.007024960152967225,0.01097760324227371,0.011032474049168895,-0.01599450773106725,0.0,0.0
1952-05-31,0.0068219197359547365,0.010594914386094298,0.010638835763601306,-0.0033833121859937303,0.0,0.0
1952-06-30,0.0021984895475598365,0.010148099221871468,0.010176688962118891,-0.0020158282251175165,0.0,0.0
1952-07-31,-0.004778225514742185,0.009697097283903644,0.00970866859196892,-0.005395200045987481,0.0,0.0
1952-08-31,-0.008869314921500015,0.00930069866231492,0.00930007499041834,0.0005498191471073046,0.0,0.0
1952-09-30,0.0035604040678370273,0.009104338655184643,0.009113109038893407,-0.002882536478691994,0.0,0.0
1952-10-31,-0.021191939093611778,0.009125377832210645,0.009167249126247537,0.0006233713241763552,0.0,0.0
1952-11-30,0.06131847018764572,0.09970296491449757,-0.12816340309937202,-0.02885513069318921,0.0,0.0
1952-12-31,0.051965632097895884,0.09664510126346317,-0.12426193664715157,-0.02380484527277073,0.0,0.0
1953-01-31,0.024275204430151173,0.04860081175965457,-0.03360236308682246,0.019581267517157313,0.0,0.0
1953-02-28,-0.004905067682363991,0.04703966517258678,-0.03252790986565975,0.014124298088000734,0.0,0.0
1953-03-31,-0.001877844611320427,0.08887189292443823,-0.06965264144119995,0.01479090268724322,0.0,0.0
1953-04-30,-0.0018218606475552464,0.011838485243462468,-0.06727057102886409,0.004665783690534634,0.0,0.0
1953-05-31,-0.003332095326435982,0.011315393054796069,-0.06146167608313471,-0.02720889854272074,0.0,0.0
1953-06-30,0.006366915394355095,0.024982077371865696,-0.0006175973592165498,-0.026561773507402284,0.0,0.0
1953-07-31,0.0156585366425221,-0.03986635493472719,0.013076795751768216,-0.023636858815241038,0.0,0.0
1953-08-31,0.03185797950590064,-0.03851842564532122,0.012679494853560786,-0.015870864764482396,0.0,0.0
1953-09-30,0.020670535071352976,0.018418735185441903,-0.0004897722216989676,-0.014533277866033546,0.0,0.0
1953-10-31,0.02003704208557465,0.04853404592313458,-0.0008279470239812103,-0.0244417767928942,0.0,0.0
1953-11-30,-0.015401391065778765,-0.08520233691279175,0.13655050211536066,-0.026134750791424306,0.0,0.0
1953-12-31,-0.025753587933100994,-0.08261453442030924,0.13237474427016668,-0.022362587461278123,0.0,0.0
1954-01-31,-0.024870525531573533,-0.05794815131412655,0.0017798993144947373,0.0039559428786190565,0.0,0.0
1954-02-28,0.05711256007557863,-0.05032769267897717,0.0014825260844687962,-0.004879189478689206,0.0,0.0
1954-03-31,0.03814236435620345,-0.04867974237253525,0.0014688969966763364,-0.004311059064789824,0.0,0.0
1954-04-30,0.028812470470073223,-0.0036389950986881123,-0.05164119298887619,0.004494688052399366,0.0,0.0
1954-05-31,0.01370090128652534,-0.003521778000017914,-0.05002163429402781,0.007274761516690684,0.0,0.0
1954-06-30,0.0005372345628548957,-0.08994680913657209,0.058939454519754735,0.009639849261333232,0.0,0.0
1954-07-31,0.02147005232168491,0.05559845091118301,-0.05325859714224835,-0.006463366562855828,0.0,0.0
1954-08-31,-0.0041139412129690064,0.05388654159103617,-0.051621812017692684,-0.004593463411576315,0.0,0.0
1954-09-30,-0.011080720326175911,0.03032141592578681,-0.01747495352654376,0.009038863711628788,0.0,0.0
1954-10-31,-0.016208834661016257,0.029233859061320748,-0.016788897268280794,0.024281612528929727,0.0,0.0
1954-11-30,-0.23105565570542347,-0.5473025756910141,0.8748185126841262,0.1089389447260806,0.0,0.0
1954-12-31,-0.19469387055539186,-0.003485617050781986,0.13940656144094465,0.09663077413367793,0.0,0.0
1955-01-31,-0.12470865394518287,-0.014672228810277285,0.0331549789829229,0.07930990493591196,0.0,0.0
1955-02-28,0.047051492985602184,-0.01430395208807992,0.03182516396059077,0.005329547339583601,0.0,0.0
1955-03-31,-0.022243740728747602,-0.013899469715405136,0.03062935563403771,0.01994191174730378,0.0,0.0
1955-04-30,-0.033224736087599904,-0.013627580371756433,0.02933299104214889,0.024012778280586313,0.0,0.0
1955-05-31,0.03758516691029554,-0.013232115797560007,0.027922589106502974,0.05739027334938525,0.0,0.0
1955-06-30,0.04225346822696645,0.09771226221521974,-0.12319842195054265,0.031303593005854405,0.0,0.0
1955-07-31,-0.00011978566276581171,0.06436930459001837,-0.10598556666448558,0.06737196597667443,0.0,0.0
1955-08-31,0.0008278253351717219,0.10294726632501336,-0.09495950054126213,0.05615618136966851,0.0,0.0
